drop = 0.55
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')
Epoch 1   : loss: 3.6183, best 0.0659, train_acc: 0.0582, val_acc: 0.0659
Epoch 2   : loss: 3.5431, best 0.0773, train_acc: 0.0674, val_acc: 0.0773
Epoch 3   : loss: 3.2589, best 0.0773, train_acc: 0.0689, val_acc: 0.0350
Epoch 4   : loss: 3.0727, best 0.0773, train_acc: 0.0941, val_acc: 0.0724
Epoch 5   : loss: 2.4398, best 0.0789, train_acc: 0.1210, val_acc: 0.0789
Epoch 6   : loss: 3.2104, best 0.0888, train_acc: 0.0925, val_acc: 0.0888
Epoch 7   : loss: 2.1906, best 0.1105, train_acc: 0.1059, val_acc: 0.1105
Epoch 8   : loss: 2.6389, best 0.1277, train_acc: 0.1260, val_acc: 0.1277
Epoch 9   : loss: 1.8704, best 0.1277, train_acc: 0.1531, val_acc: 0.1070
Epoch 10  : loss: 2.8057, best 0.1305, train_acc: 0.1636, val_acc: 0.1305
Epoch 11  : loss: 3.1244, best 0.1400, train_acc: 0.1682, val_acc: 0.1400
Epoch 12  : loss: 2.9269, best 0.1543, train_acc: 0.1999, val_acc: 0.1543
Epoch 13  : loss: 2.8919, best 0.1543, train_acc: 0.1979, val_acc: 0.1345
Epoch 14  : loss: 2.4344, best 0.2264, train_acc: 0.2074, val_acc: 0.2264
Epoch 15  : loss: 2.4134, best 0.2350, train_acc: 0.2216, val_acc: 0.2350
Epoch 16  : loss: 2.5611, best 0.2447, train_acc: 0.2132, val_acc: 0.2447
Epoch 17  : loss: 2.0953, best 0.2447, train_acc: 0.2336, val_acc: 0.2365
Epoch 18  : loss: 2.0690, best 0.2511, train_acc: 0.2591, val_acc: 0.2511
Epoch 19  : loss: 0.9996, best 0.2511, train_acc: 0.2665, val_acc: 0.1938
Epoch 20  : loss: 2.1715, best 0.2511, train_acc: 0.2654, val_acc: 0.2231
Epoch 21  : loss: 0.8831, best 0.2511, train_acc: 0.2784, val_acc: 0.2354
Epoch 22  : loss: 2.0170, best 0.2511, train_acc: 0.2802, val_acc: 0.2490
Epoch 23  : loss: 2.1262, best 0.2710, train_acc: 0.2998, val_acc: 0.2710
Epoch 24  : loss: 1.7275, best 0.2710, train_acc: 0.3012, val_acc: 0.2324
Epoch 25  : loss: 0.9383, best 0.2854, train_acc: 0.3067, val_acc: 0.2854
Epoch 26  : loss: 1.8952, best 0.2854, train_acc: 0.3172, val_acc: 0.2807
Epoch 27  : loss: 1.5315, best 0.2952, train_acc: 0.3160, val_acc: 0.2952
Epoch 28  : loss: 1.5929, best 0.3039, train_acc: 0.3114, val_acc: 0.3039
Epoch 29  : loss: 1.6341, best 0.3128, train_acc: 0.3227, val_acc: 0.3128
Epoch 30  : loss: 1.9578, best 0.3128, train_acc: 0.3219, val_acc: 0.2924
Epoch 31  : loss: 1.9289, best 0.3128, train_acc: 0.3379, val_acc: 0.3098
Epoch 32  : loss: 1.3981, best 0.3128, train_acc: 0.3463, val_acc: 0.3088
Epoch 33  : loss: 0.5745, best 0.3128, train_acc: 0.3425, val_acc: 0.2562
Epoch 34  : loss: 1.6378, best 0.3128, train_acc: 0.3567, val_acc: 0.2753
Epoch 35  : loss: 0.6651, best 0.3128, train_acc: 0.3311, val_acc: 0.2592
Epoch 36  : loss: 1.2397, best 0.3128, train_acc: 0.3450, val_acc: 0.2671
Epoch 37  : loss: 1.3950, best 0.3128, train_acc: 0.3584, val_acc: 0.3060
Epoch 38  : loss: 1.2541, best 0.3128, train_acc: 0.3669, val_acc: 0.3097
Epoch 39  : loss: 2.3993, best 0.3128, train_acc: 0.3814, val_acc: 0.2737
Epoch 40  : loss: 1.6196, best 0.3128, train_acc: 0.3736, val_acc: 0.2489
Epoch 41  : loss: 1.5565, best 0.3244, train_acc: 0.3830, val_acc: 0.3244
Epoch 42  : loss: 3.0985, best 0.3244, train_acc: 0.3702, val_acc: 0.3059
Epoch 43  : loss: 1.1888, best 0.3244, train_acc: 0.3770, val_acc: 0.2980
Epoch 44  : loss: 0.7836, best 0.3244, train_acc: 0.3954, val_acc: 0.3142
Epoch 45  : loss: 2.8142, best 0.3258, train_acc: 0.3908, val_acc: 0.3258
Epoch 46  : loss: 1.1448, best 0.3258, train_acc: 0.3815, val_acc: 0.2955
Epoch 47  : loss: 1.1449, best 0.3258, train_acc: 0.3879, val_acc: 0.3132
Epoch 48  : loss: 0.8655, best 0.3258, train_acc: 0.3899, val_acc: 0.3086
Epoch 49  : loss: 1.2096, best 0.3344, train_acc: 0.4139, val_acc: 0.3344
Epoch 50  : loss: 0.5100, best 0.3344, train_acc: 0.4080, val_acc: 0.2765
Epoch 51  : loss: 0.4635, best 0.3344, train_acc: 0.3971, val_acc: 0.3312
Epoch 52  : loss: 0.0376, best 0.3344, train_acc: 0.4129, val_acc: 0.3009
Epoch 53  : loss: 1.4891, best 0.3448, train_acc: 0.4055, val_acc: 0.3448
Epoch 54  : loss: 1.3463, best 0.3448, train_acc: 0.4189, val_acc: 0.3201
Epoch 55  : loss: 1.1529, best 0.3448, train_acc: 0.4163, val_acc: 0.3242
Epoch 56  : loss: 0.5404, best 0.3448, train_acc: 0.4107, val_acc: 0.3392
Epoch 57  : loss: 0.3626, best 0.3448, train_acc: 0.4379, val_acc: 0.3306
Epoch 58  : loss: 1.2759, best 0.3448, train_acc: 0.4197, val_acc: 0.2835
Epoch 59  : loss: 1.3479, best 0.3448, train_acc: 0.4309, val_acc: 0.3236
Epoch 60  : loss: 1.2850, best 0.3514, train_acc: 0.4217, val_acc: 0.3514
Epoch 61  : loss: 0.2923, best 0.3514, train_acc: 0.4398, val_acc: 0.3475
Epoch 62  : loss: 1.9772, best 0.3514, train_acc: 0.4332, val_acc: 0.3315
Epoch 63  : loss: 1.6732, best 0.3514, train_acc: 0.4441, val_acc: 0.3192
Epoch 64  : loss: 1.0090, best 0.3639, train_acc: 0.4273, val_acc: 0.3639
Epoch 65  : loss: 0.2863, best 0.3639, train_acc: 0.4402, val_acc: 0.3463
Epoch 66  : loss: 0.3546, best 0.3639, train_acc: 0.4453, val_acc: 0.3486
Epoch 67  : loss: 0.9261, best 0.3639, train_acc: 0.4464, val_acc: 0.3394
Epoch 68  : loss: 0.4771, best 0.3786, train_acc: 0.4369, val_acc: 0.3786
