drop = 0.006 # best = 0.39
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')

Epoch 1   : loss: 2.9506, best 0.0659, train_acc: 0.0499, val_acc: 0.0659
Epoch 2   : loss: 2.8436, best 0.0659, train_acc: 0.0658, val_acc: 0.0208
Epoch 3   : loss: 3.0301, best 0.0659, train_acc: 0.0831, val_acc: 0.0208
Epoch 4   : loss: 3.5732, best 0.0811, train_acc: 0.1199, val_acc: 0.0811
Epoch 5   : loss: 2.9187, best 0.1001, train_acc: 0.1119, val_acc: 0.1001
Epoch 6   : loss: 2.2050, best 0.1289, train_acc: 0.1288, val_acc: 0.1289
Epoch 7   : loss: 2.7553, best 0.1289, train_acc: 0.1424, val_acc: 0.0997
Epoch 8   : loss: 2.4836, best 0.1289, train_acc: 0.1853, val_acc: 0.1061
Epoch 9   : loss: 2.3662, best 0.1518, train_acc: 0.1815, val_acc: 0.1518
Epoch 10  : loss: 2.3507, best 0.1518, train_acc: 0.2234, val_acc: 0.1423
Epoch 11  : loss: 1.2489, best 0.1582, train_acc: 0.2490, val_acc: 0.1582
Epoch 12  : loss: 2.5156, best 0.1582, train_acc: 0.2715, val_acc: 0.1423
Epoch 13  : loss: 3.3934, best 0.1822, train_acc: 0.2808, val_acc: 0.1822
Epoch 14  : loss: 1.9592, best 0.1851, train_acc: 0.2966, val_acc: 0.1851
Epoch 15  : loss: 1.8968, best 0.2287, train_acc: 0.3168, val_acc: 0.2287
Epoch 16  : loss: 0.9983, best 0.2287, train_acc: 0.3086, val_acc: 0.2020
Epoch 17  : loss: 1.6501, best 0.2287, train_acc: 0.3216, val_acc: 0.2197
Epoch 18  : loss: 0.6554, best 0.2585, train_acc: 0.3279, val_acc: 0.2585
Epoch 19  : loss: 3.0948, best 0.2585, train_acc: 0.3559, val_acc: 0.2357
Epoch 20  : loss: 1.6160, best 0.2585, train_acc: 0.3228, val_acc: 0.2417
Epoch 21  : loss: 0.2895, best 0.2585, train_acc: 0.3528, val_acc: 0.2377
Epoch 22  : loss: 0.3517, best 0.2734, train_acc: 0.3660, val_acc: 0.2734
Epoch 23  : loss: 1.5488, best 0.2734, train_acc: 0.3781, val_acc: 0.2183
Epoch 24  : loss: 1.9503, best 0.2781, train_acc: 0.3871, val_acc: 0.2781
Epoch 25  : loss: 1.5225, best 0.2781, train_acc: 0.3638, val_acc: 0.2749
Epoch 26  : loss: 1.7498, best 0.2781, train_acc: 0.4138, val_acc: 0.2026
Epoch 27  : loss: 2.2381, best 0.2781, train_acc: 0.3776, val_acc: 0.2452
Epoch 28  : loss: 2.5314, best 0.2781, train_acc: 0.3936, val_acc: 0.2653
Epoch 29  : loss: 0.4388, best 0.2781, train_acc: 0.4230, val_acc: 0.2291
Epoch 30  : loss: 1.0056, best 0.3180, train_acc: 0.4216, val_acc: 0.3180
Epoch 31  : loss: 1.2153, best 0.3180, train_acc: 0.4307, val_acc: 0.2554
Epoch 32  : loss: 1.2274, best 0.3180, train_acc: 0.4465, val_acc: 0.2679
Epoch 33  : loss: 1.2583, best 0.3180, train_acc: 0.4359, val_acc: 0.3176
Epoch 34  : loss: 1.7304, best 0.3261, train_acc: 0.4482, val_acc: 0.3261
Epoch 35  : loss: 1.3413, best 0.3261, train_acc: 0.4294, val_acc: 0.3194
Epoch 36  : loss: 2.4189, best 0.3261, train_acc: 0.4625, val_acc: 0.3207
Epoch 37  : loss: 1.1378, best 0.3261, train_acc: 0.4688, val_acc: 0.2961
Epoch 38  : loss: 1.0315, best 0.3261, train_acc: 0.4608, val_acc: 0.2627
Epoch 39  : loss: 0.2090, best 0.3261, train_acc: 0.4881, val_acc: 0.2724
Epoch 40  : loss: 1.1587, best 0.3286, train_acc: 0.4795, val_acc: 0.3286
Epoch 41  : loss: 1.1352, best 0.3286, train_acc: 0.4883, val_acc: 0.2741
Epoch 42  : loss: 1.1372, best 0.3405, train_acc: 0.4940, val_acc: 0.3405
Epoch 43  : loss: 1.1492, best 0.3405, train_acc: 0.4968, val_acc: 0.3280
Epoch 44  : loss: 1.1928, best 0.3405, train_acc: 0.4974, val_acc: 0.3241
Epoch 45  : loss: 1.0960, best 0.3405, train_acc: 0.5008, val_acc: 0.2833
Epoch 46  : loss: 0.9290, best 0.3405, train_acc: 0.5259, val_acc: 0.3133
Epoch 47  : loss: 1.1271, best 0.3405, train_acc: 0.5372, val_acc: 0.2969
Epoch 48  : loss: 0.6053, best 0.3405, train_acc: 0.5231, val_acc: 0.2958
Epoch 49  : loss: 0.1761, best 0.3405, train_acc: 0.5381, val_acc: 0.3178
Epoch 50  : loss: 0.1254, best 0.3405, train_acc: 0.5318, val_acc: 0.3325
Epoch 51  : loss: 0.7266, best 0.3405, train_acc: 0.5128, val_acc: 0.3204
Epoch 52  : loss: 1.0351, best 0.3405, train_acc: 0.5551, val_acc: 0.3276
Epoch 53  : loss: 1.9256, best 0.3405, train_acc: 0.5568, val_acc: 0.2997
Epoch 54  : loss: 2.1796, best 0.3405, train_acc: 0.5496, val_acc: 0.3304
Epoch 55  : loss: 0.5820, best 0.3405, train_acc: 0.5571, val_acc: 0.3224
Epoch 56  : loss: 0.1135, best 0.3405, train_acc: 0.5815, val_acc: 0.3088
Epoch 57  : loss: 1.2137, best 0.3405, train_acc: 0.5608, val_acc: 0.3164
Epoch 58  : loss: 0.1326, best 0.3422, train_acc: 0.5776, val_acc: 0.3422
Epoch 59  : loss: 0.1098, best 0.3536, train_acc: 0.5695, val_acc: 0.3536
Epoch 60  : loss: 0.6774, best 0.3536, train_acc: 0.5523, val_acc: 0.3456
Epoch 61  : loss: 1.7178, best 0.3536, train_acc: 0.5624, val_acc: 0.2983
Epoch 62  : loss: 0.0823, best 0.3650, train_acc: 0.6040, val_acc: 0.3650
Epoch 63  : loss: 0.0321, best 0.3650, train_acc: 0.5761, val_acc: 0.2751
Epoch 64  : loss: 0.7247, best 0.3650, train_acc: 0.5968, val_acc: 0.3579
Epoch 65  : loss: 0.2436, best 0.3650, train_acc: 0.5728, val_acc: 0.3022
Epoch 66  : loss: 0.0910, best 0.3650, train_acc: 0.5904, val_acc: 0.2956
Epoch 67  : loss: 0.0439, best 0.3650, train_acc: 0.5803, val_acc: 0.3464
Epoch 68  : loss: 0.0410, best 0.3703, train_acc: 0.6040, val_acc: 0.3703
Epoch 69  : loss: 0.0011, best 0.3703, train_acc: 0.6000, val_acc: 0.3093
Epoch 70  : loss: 0.1883, best 0.3703, train_acc: 0.6201, val_acc: 0.2752
Epoch 71  : loss: 0.7210, best 0.3703, train_acc: 0.6087, val_acc: 0.3509
Epoch 72  : loss: 0.0052, best 0.3703, train_acc: 0.6161, val_acc: 0.2987
Epoch 73  : loss: 0.6437, best 0.3703, train_acc: 0.6024, val_acc: 0.3104
Epoch 74  : loss: 0.2110, best 0.3703, train_acc: 0.6135, val_acc: 0.3425
Epoch 75  : loss: 0.0165, best 0.3703, train_acc: 0.6285, val_acc: 0.3423
Epoch 76  : loss: 0.5518, best 0.3703, train_acc: 0.6343, val_acc: 0.3036
Epoch 77  : loss: 0.0316, best 0.3703, train_acc: 0.6263, val_acc: 0.3320
Epoch 78  : loss: 0.8432, best 0.3703, train_acc: 0.6104, val_acc: 0.3186
Epoch 79  : loss: 0.5366, best 0.3703, train_acc: 0.5937, val_acc: 0.3473
Epoch 80  : loss: 0.7999, best 0.3703, train_acc: 0.5941, val_acc: 0.3032
Epoch 81  : loss: 0.6138, best 0.3703, train_acc: 0.6304, val_acc: 0.3149
Epoch 82  : loss: 0.6206, best 0.3703, train_acc: 0.6015, val_acc: 0.3513
