drop = 0.3 # 43.32
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')

Epoch 1   : loss: 3.1356, best 0.0659, train_acc: 0.0548, val_acc: 0.0659
Epoch 2   : loss: 2.3726, best 0.0787, train_acc: 0.0785, val_acc: 0.0787
Epoch 3   : loss: 3.2317, best 0.0789, train_acc: 0.0884, val_acc: 0.0789
Epoch 4   : loss: 2.3536, best 0.0789, train_acc: 0.1211, val_acc: 0.0734
Epoch 5   : loss: 1.9327, best 0.0854, train_acc: 0.1079, val_acc: 0.0854
Epoch 6   : loss: 2.9991, best 0.1132, train_acc: 0.1061, val_acc: 0.1132
Epoch 7   : loss: 2.9717, best 0.1132, train_acc: 0.1532, val_acc: 0.1065
Epoch 8   : loss: 1.7003, best 0.1632, train_acc: 0.1633, val_acc: 0.1632
Epoch 9   : loss: 2.6543, best 0.1774, train_acc: 0.1799, val_acc: 0.1774
Epoch 10  : loss: 1.2316, best 0.1774, train_acc: 0.2101, val_acc: 0.1603
Epoch 11  : loss: 2.4267, best 0.1934, train_acc: 0.2281, val_acc: 0.1934
Epoch 12  : loss: 1.0900, best 0.2165, train_acc: 0.2450, val_acc: 0.2165
Epoch 13  : loss: 1.9886, best 0.2581, train_acc: 0.2593, val_acc: 0.2581
Epoch 14  : loss: 1.0893, best 0.2581, train_acc: 0.2740, val_acc: 0.2011
Epoch 15  : loss: 0.6287, best 0.2664, train_acc: 0.2958, val_acc: 0.2664
Epoch 16  : loss: 2.0432, best 0.2664, train_acc: 0.3288, val_acc: 0.2370
Epoch 17  : loss: 1.7908, best 0.2664, train_acc: 0.3291, val_acc: 0.2601
Epoch 18  : loss: 1.4671, best 0.2892, train_acc: 0.3521, val_acc: 0.2892
Epoch 19  : loss: 1.6867, best 0.3294, train_acc: 0.3428, val_acc: 0.3294
Epoch 20  : loss: 1.8098, best 0.3294, train_acc: 0.3702, val_acc: 0.2564
Epoch 21  : loss: 0.1195, best 0.3294, train_acc: 0.3531, val_acc: 0.2668
Epoch 22  : loss: 1.4851, best 0.3294, train_acc: 0.3832, val_acc: 0.3203
Epoch 23  : loss: 1.4465, best 0.3294, train_acc: 0.3734, val_acc: 0.3060
Epoch 24  : loss: 0.3739, best 0.3294, train_acc: 0.3678, val_acc: 0.3128
Epoch 25  : loss: 0.3771, best 0.3294, train_acc: 0.3933, val_acc: 0.2919
Epoch 26  : loss: 2.1014, best 0.3430, train_acc: 0.4028, val_acc: 0.3430
Epoch 27  : loss: 0.2685, best 0.3430, train_acc: 0.3833, val_acc: 0.3169
Epoch 28  : loss: 1.5468, best 0.3430, train_acc: 0.3919, val_acc: 0.3282
Epoch 29  : loss: 0.0951, best 0.3430, train_acc: 0.4272, val_acc: 0.3392
Epoch 30  : loss: 0.2486, best 0.3430, train_acc: 0.4217, val_acc: 0.3289
Epoch 31  : loss: 1.2573, best 0.3461, train_acc: 0.4283, val_acc: 0.3461
Epoch 32  : loss: 1.2845, best 0.3461, train_acc: 0.4233, val_acc: 0.2985
Epoch 33  : loss: 0.9428, best 0.3461, train_acc: 0.4282, val_acc: 0.3174
Epoch 34  : loss: 1.5846, best 0.3461, train_acc: 0.4357, val_acc: 0.3297
Epoch 35  : loss: 0.3050, best 0.3461, train_acc: 0.4439, val_acc: 0.3376
Epoch 36  : loss: 1.2787, best 0.3461, train_acc: 0.4526, val_acc: 0.3410
Epoch 37  : loss: 0.9226, best 0.3461, train_acc: 0.4650, val_acc: 0.2989
Epoch 38  : loss: 0.3203, best 0.3461, train_acc: 0.4485, val_acc: 0.3210
Epoch 39  : loss: 1.2944, best 0.3496, train_acc: 0.4782, val_acc: 0.3496
