drop = 0.4 # best 45.57
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')

Epoch 1   : loss: 3.5363, best 0.0652, train_acc: 0.0545, val_acc: 0.0652
Epoch 2   : loss: 3.4260, best 0.0652, train_acc: 0.0732, val_acc: 0.0573
Epoch 3   : loss: 3.3762, best 0.0721, train_acc: 0.0934, val_acc: 0.0721
Epoch 4   : loss: 2.9018, best 0.0891, train_acc: 0.0942, val_acc: 0.0891
Epoch 5   : loss: 2.7398, best 0.0934, train_acc: 0.1245, val_acc: 0.0934
Epoch 6   : loss: 2.6116, best 0.1166, train_acc: 0.1398, val_acc: 0.1166
Epoch 7   : loss: 2.5097, best 0.1166, train_acc: 0.1369, val_acc: 0.0754
Epoch 8   : loss: 3.0071, best 0.1166, train_acc: 0.1557, val_acc: 0.1129
Epoch 9   : loss: 2.7769, best 0.1344, train_acc: 0.1637, val_acc: 0.1344
Epoch 10  : loss: 1.4177, best 0.1775, train_acc: 0.1994, val_acc: 0.1775
Epoch 11  : loss: 2.2439, best 0.1775, train_acc: 0.2263, val_acc: 0.1593
Epoch 12  : loss: 2.3807, best 0.1795, train_acc: 0.2417, val_acc: 0.1795
Epoch 13  : loss: 2.2556, best 0.1839, train_acc: 0.2530, val_acc: 0.1839
Epoch 14  : loss: 2.3643, best 0.2320, train_acc: 0.2667, val_acc: 0.2320
Epoch 15  : loss: 0.8424, best 0.2409, train_acc: 0.2755, val_acc: 0.2409
Epoch 16  : loss: 2.3563, best 0.2409, train_acc: 0.2747, val_acc: 0.2266
Epoch 17  : loss: 3.3159, best 0.2457, train_acc: 0.2985, val_acc: 0.2457
Epoch 18  : loss: 3.3767, best 0.2559, train_acc: 0.2914, val_acc: 0.2559
Epoch 19  : loss: 1.7321, best 0.2705, train_acc: 0.3167, val_acc: 0.2705
Epoch 20  : loss: 0.7426, best 0.2705, train_acc: 0.3178, val_acc: 0.2598
