drop = 0.45
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')
Epoch 1   : loss: 2.9916, best 0.0659, train_acc: 0.0455, val_acc: 0.0659
Epoch 2   : loss: 2.9344, best 0.0659, train_acc: 0.0699, val_acc: 0.0332
Epoch 3   : loss: 2.3269, best 0.0797, train_acc: 0.0818, val_acc: 0.0797
Epoch 4   : loss: 2.7018, best 0.0814, train_acc: 0.0896, val_acc: 0.0814
Epoch 5   : loss: 3.4005, best 0.0814, train_acc: 0.0939, val_acc: 0.0591
Epoch 6   : loss: 2.6066, best 0.1506, train_acc: 0.1247, val_acc: 0.1506
Epoch 7   : loss: 2.2336, best 0.1506, train_acc: 0.1226, val_acc: 0.0884
Epoch 8   : loss: 1.7311, best 0.1506, train_acc: 0.1474, val_acc: 0.1261
Epoch 9   : loss: 2.3541, best 0.1879, train_acc: 0.1739, val_acc: 0.1879
Epoch 10  : loss: 2.1799, best 0.1879, train_acc: 0.1959, val_acc: 0.1693
Epoch 11  : loss: 2.5291, best 0.1879, train_acc: 0.2081, val_acc: 0.1775
Epoch 12  : loss: 2.1113, best 0.2050, train_acc: 0.2196, val_acc: 0.2050
Epoch 13  : loss: 0.8416, best 0.2050, train_acc: 0.2377, val_acc: 0.1750
Epoch 14  : loss: 1.7683, best 0.2603, train_acc: 0.2701, val_acc: 0.2603
Epoch 15  : loss: 0.7186, best 0.2603, train_acc: 0.2580, val_acc: 0.1770
Epoch 16  : loss: 2.3789, best 0.2603, train_acc: 0.2819, val_acc: 0.2139
Epoch 17  : loss: 2.0272, best 0.2603, train_acc: 0.2780, val_acc: 0.2429
Epoch 18  : loss: 0.9005, best 0.2603, train_acc: 0.2869, val_acc: 0.2173
Epoch 19  : loss: 0.6666, best 0.2734, train_acc: 0.3065, val_acc: 0.2734
Epoch 20  : loss: 1.9705, best 0.2734, train_acc: 0.3117, val_acc: 0.2283
Epoch 21  : loss: 1.4931, best 0.2734, train_acc: 0.3054, val_acc: 0.2492
Epoch 22  : loss: 1.6130, best 0.2769, train_acc: 0.3184, val_acc: 0.2769
Epoch 23  : loss: 2.8369, best 0.2771, train_acc: 0.3278, val_acc: 0.2771
Epoch 24  : loss: 2.5005, best 0.2771, train_acc: 0.3292, val_acc: 0.2621
Epoch 25  : loss: 0.6311, best 0.2922, train_acc: 0.3338, val_acc: 0.2922
Epoch 26  : loss: 1.5742, best 0.2939, train_acc: 0.3502, val_acc: 0.2939
Epoch 27  : loss: 2.8511, best 0.2939, train_acc: 0.3507, val_acc: 0.2271
Epoch 28  : loss: 0.0534, best 0.2939, train_acc: 0.3459, val_acc: 0.2531
Epoch 29  : loss: 1.5819, best 0.2939, train_acc: 0.3568, val_acc: 0.2497
Epoch 30  : loss: 0.8512, best 0.2939, train_acc: 0.3622, val_acc: 0.2119
Epoch 31  : loss: 1.8752, best 0.2939, train_acc: 0.3441, val_acc: 0.2790
Epoch 32  : loss: 0.7013, best 0.2939, train_acc: 0.3699, val_acc: 0.2814
Epoch 33  : loss: 1.3337, best 0.2939, train_acc: 0.3759, val_acc: 0.2738
Epoch 34  : loss: 1.3333, best 0.3159, train_acc: 0.3796, val_acc: 0.3159
Epoch 35  : loss: 1.6666, best 0.3415, train_acc: 0.3755, val_acc: 0.3415
Epoch 36  : loss: 0.4090, best 0.3415, train_acc: 0.3861, val_acc: 0.3221
Epoch 37  : loss: 1.3532, best 0.3415, train_acc: 0.3891, val_acc: 0.3141
Epoch 38  : loss: 0.6673, best 0.3415, train_acc: 0.4081, val_acc: 0.3330
Epoch 39  : loss: 1.7644, best 0.3415, train_acc: 0.3906, val_acc: 0.3289
Epoch 40  : loss: 1.1510, best 0.3415, train_acc: 0.3933, val_acc: 0.2781
Epoch 41  : loss: 1.0138, best 0.3415, train_acc: 0.3989, val_acc: 0.3243
Epoch 42  : loss: 1.3341, best 0.3415, train_acc: 0.4087, val_acc: 0.3137
Epoch 43  : loss: 1.4047, best 0.3415, train_acc: 0.4129, val_acc: 0.3081
Epoch 44  : loss: 0.3779, best 0.3415, train_acc: 0.4105, val_acc: 0.3347
Epoch 45  : loss: 2.0304, best 0.3420, train_acc: 0.4140, val_acc: 0.3420
Epoch 46  : loss: 1.2786, best 0.3420, train_acc: 0.4265, val_acc: 0.3407
Epoch 47  : loss: 1.2421, best 0.3509, train_acc: 0.4211, val_acc: 0.3509
Epoch 48  : loss: 1.3836, best 0.3509, train_acc: 0.4190, val_acc: 0.3207
Epoch 49  : loss: 1.1224, best 0.3509, train_acc: 0.4376, val_acc: 0.3433
Epoch 50  : loss: 1.1559, best 0.3509, train_acc: 0.4291, val_acc: 0.3363
Epoch 51  : loss: 1.2375, best 0.3509, train_acc: 0.4393, val_acc: 0.3163
Epoch 52  : loss: 2.3233, best 0.3509, train_acc: 0.4504, val_acc: 0.3418
