drop = 0.65
model = GraphSAGE(772, 196, 64, drop, num_classes) #
# model.load_state_dict(torch.load('weights/graphSAGE_best40.pth',
#                                  map_location=torch.device('cpu')))
best_model, best_acc = train_n_valid(train_data, val_data, model, 1500, lr=0.001, path_save='weights/graphSAGE_best40.pth')

Epoch 1   : loss: 2.8783, best 0.0659, train_acc: 0.0547, val_acc: 0.0659
Epoch 2   : loss: 3.0119, best 0.0738, train_acc: 0.0669, val_acc: 0.0738
Epoch 3   : loss: 3.4876, best 0.0784, train_acc: 0.0785, val_acc: 0.0784
Epoch 4   : loss: 2.3399, best 0.0830, train_acc: 0.1028, val_acc: 0.0830
Epoch 5   : loss: 3.1446, best 0.0830, train_acc: 0.1098, val_acc: 0.0803
Epoch 6   : loss: 2.1931, best 0.0938, train_acc: 0.0930, val_acc: 0.0938
Epoch 7   : loss: 2.6223, best 0.0938, train_acc: 0.1266, val_acc: 0.0856
Epoch 8   : loss: 1.5437, best 0.1138, train_acc: 0.1284, val_acc: 0.1138
Epoch 9   : loss: 3.5901, best 0.1138, train_acc: 0.1307, val_acc: 0.1058
Epoch 10  : loss: 2.3774, best 0.1387, train_acc: 0.1610, val_acc: 0.1387
Epoch 11  : loss: 2.6483, best 0.1788, train_acc: 0.1746, val_acc: 0.1788
Epoch 12  : loss: 3.5166, best 0.1788, train_acc: 0.1911, val_acc: 0.1733
Epoch 13  : loss: 2.5928, best 0.1788, train_acc: 0.2062, val_acc: 0.1527
Epoch 14  : loss: 2.6930, best 0.1788, train_acc: 0.1940, val_acc: 0.1608
Epoch 15  : loss: 3.1314, best 0.1850, train_acc: 0.2301, val_acc: 0.1850
Epoch 16  : loss: 2.0527, best 0.1850, train_acc: 0.2173, val_acc: 0.1550
Epoch 17  : loss: 2.5149, best 0.2452, train_acc: 0.2379, val_acc: 0.2452
Epoch 18  : loss: 2.0050, best 0.2452, train_acc: 0.2390, val_acc: 0.2343
Epoch 19  : loss: 0.9051, best 0.2452, train_acc: 0.2515, val_acc: 0.2268
Epoch 20  : loss: 1.1900, best 0.2498, train_acc: 0.2656, val_acc: 0.2498
Epoch 21  : loss: 0.4451, best 0.2578, train_acc: 0.2668, val_acc: 0.2578
Epoch 22  : loss: 1.6758, best 0.2615, train_acc: 0.2731, val_acc: 0.2615
Epoch 23  : loss: 1.9584, best 0.2615, train_acc: 0.2687, val_acc: 0.2267
Epoch 24  : loss: 1.7291, best 0.2687, train_acc: 0.2688, val_acc: 0.2687
Epoch 25  : loss: 1.0311, best 0.2687, train_acc: 0.2760, val_acc: 0.2624
Epoch 26  : loss: 1.0698, best 0.2687, train_acc: 0.2896, val_acc: 0.2649
Epoch 27  : loss: 1.1720, best 0.2687, train_acc: 0.2934, val_acc: 0.2668
Epoch 28  : loss: 2.0965, best 0.2777, train_acc: 0.3095, val_acc: 0.2777
Epoch 29  : loss: 2.0393, best 0.2777, train_acc: 0.3003, val_acc: 0.2652
Epoch 30  : loss: 1.6248, best 0.2777, train_acc: 0.2945, val_acc: 0.2680
Epoch 31  : loss: 1.7987, best 0.2777, train_acc: 0.2995, val_acc: 0.2721
Epoch 32  : loss: 1.6815, best 0.2777, train_acc: 0.3042, val_acc: 0.2376
Epoch 33  : loss: 2.0441, best 0.3000, train_acc: 0.3114, val_acc: 0.3000
Epoch 34  : loss: 0.1494, best 0.3000, train_acc: 0.3356, val_acc: 0.2622
Epoch 35  : loss: 1.8262, best 0.3000, train_acc: 0.3291, val_acc: 0.2942
Epoch 36  : loss: 1.4046, best 0.3000, train_acc: 0.3155, val_acc: 0.2930
Epoch 37  : loss: 0.8047, best 0.3000, train_acc: 0.3168, val_acc: 0.2747
Epoch 38  : loss: 1.4179, best 0.3000, train_acc: 0.3200, val_acc: 0.2828
Epoch 39  : loss: 2.3902, best 0.3000, train_acc: 0.3202, val_acc: 0.2913
Epoch 40  : loss: 1.6490, best 0.3000, train_acc: 0.3329, val_acc: 0.2917
